Organism	Domain	Group	Plant Pathogen	Plant Associated	ecology
Aspergillus-udagawae	Fungi	Ascomycota	No	No	Saprophyte
Aspergillus-versicolor	Fungi	Ascomycota	No	Yes	Saprophyte
Aspergillus-wentii	Fungi	Ascomycota	No	Yes	Saprophyte
Aureobasidium-melanogenum	Fungi	Ascomycota	No	Yes	Saprophyte
Aureobasidium-subglaciale	Fungi	Ascomycota	No	No	Saprophyte
Byssochlamys-spectabilis	Fungi	Ascomycota	No	Yes	Saprophyte
Clohesyomyces-aquaticus	Fungi	Ascomycota	No	Yes	Saprophyte
Glarea-lozoyensis	Fungi	Ascomycota	No	Yes	Saprophyte
Glonium-stellatum	Fungi	Ascomycota	No	Yes	Saprophyte
Lepidopterella-palustris	Fungi	Ascomycota	No	Yes	Saprophyte
Oidiodendron-maius	Fungi	Ascomycota	No	Yes	Saprophyte
Penicillium-brasilianum	Fungi	Ascomycota	No	Yes	Saprophyte
Penicillium-chrysogenum	Fungi	Ascomycota	No	No	Saprophyte
Penicillium-digitatum	Fungi	Ascomycota	Yes	Yes	Saprophyte
Penicillium-expansum	Fungi	Ascomycota	Yes	Yes	Saprophyte
Penicillium-freii	Fungi	Ascomycota	No	Yes	Saprophyte
Penicillium-roqueforti	Fungi	Ascomycota	No	Yes	Saprophyte
Penicillium-subrubescens	Fungi	Ascomycota	No	Yes	Saprophyte
Rasamsonia-emersonii	Fungi	Ascomycota	No	Yes	Saprophyte
Talaromyces-cellulolyticus	Fungi	Ascomycota	No	Yes	Saprophyte
Talaromyces-islandicus	Fungi	Ascomycota	No	Yes	Saprophyte
Talaromyces-stipitatus	Fungi	Ascomycota	No	Yes	Saprophyte
Trichoderma-pseudokoningii	Fungi	Ascomycota	No	Yes	Saprophyte
Trichoderma-reesei	Fungi	Ascomycota	No	Yes	Saprophyte
Fistulina-hepatica	Fungi	Basidiomycota	Yes	Yes	Saprophyte
Flammulina-velutipes	Fungi	Basidiomycota	No	Yes	Saprophyte
Schizophyllum-commune	Fungi	Basidiomycota	No	Yes	Saprophyte
Bacillus-altitudinis	Bacteria	Firmicutes	No	Yes	Saprophyte
Bacillus-cellulasensis	Bacteria	Firmicutes	No	Yes	Saprophyte
Bacillus-malacitensis	Bacteria	Firmicutes	No	No	Saprophyte
Clostridium-clariflavum	Bacteria	Firmicutes	No	Yes	Saprophyte
Paenibacillus-jamilae	Bacteria	Firmicutes	No	Yes	Saprophyte
Paenibacillus-kribbensis	Bacteria	Firmicutes	No	Yes	Saprophyte
Paenibacillus-terrae	Bacteria	Firmicutes	No	Yes	Saprophyte
Pseudobacteroides-cellulosolvens	Bacteria	Firmicutes	No	Yes	Saprophyte
Vibrio-gazogenes	Bacteria	Gammaproteobacteria	No	Yes	Saprophyte
Archangium-gephyra	Bacteria	Myxobacteria	No	No	Saprophyte
Archangium-violaceum	Bacteria	Myxobacteria	No	No	Saprophyte
Chondromyces-crocatus	Bacteria	Myxobacteria	No	Yes	Saprophyte
Corallococcus-coralloides	Bacteria	Myxobacteria	No	No	Saprophyte
Cystobacter-ferrugineus	Bacteria	Myxobacteria	No	No	Saprophyte
Cystobacter-fuscus	Bacteria	Myxobacteria	No	No	Saprophyte
Myxococcus-fulvus	Bacteria	Myxobacteria	No	No	Saprophyte
Myxococcus-hansupus	Bacteria	Myxobacteria	No	No	Saprophyte
Myxococcus-stipitatus	Bacteria	Myxobacteria	No	No	Saprophyte
Myxococcus-virescens	Bacteria	Myxobacteria	No	No	Saprophyte
